approach,model,feature_set,sampling_strategy,neg_pos_ratio,threshold,test_pr_auc,test_roc_auc,total_events,detected_events,missed_events,event_recall,detected_events_lead_ge_15m,event_recall_lead_ge_15m,detected_events_lead_ge_30m,event_recall_lead_ge_30m,detected_events_lead_ge_60m,event_recall_lead_ge_60m,total_alerts,false_alerts,false_alerts_per_day,event_alert_precision,mean_first_alert_lead_time_minutes,median_first_alert_lead_time_minutes
logistic_undersampling,logistic,E_low_corr,external_undersampling,200.0,0.97,0.0414023303376813,0.6822958880746595,2,2,0,1.0,1,0.5,1,0.5,0,0.0,508,506,8.685866870112532,0.0039370078740157,30.5,30.5
nn_undersampling,mlp,E_low_corr,external_undersampling,20.0,0.09,0.0548883813492691,0.8019573884352846,2,2,0,1.0,2,1.0,1,0.5,0,0.0,570,568,9.750143047873356,0.0035087719298245,35.5,35.5
ml_undersampling,random_forest,E_low_corr,external_undersampling,10.0,0.28,0.0011587672612557,0.433353655863847,2,2,0,1.0,1,0.5,1,0.5,0,0.0,727,725,12.445164981880604,0.0027510316368638,15.5,15.5
ml_no_undersampling,easy_ensemble,E_low_corr,no_undersampling,,0.45,0.0013888906993305,0.5217891397990859,2,2,0,1.0,1,0.5,1,0.5,0,0.0,799,797,13.681098607667368,0.0025031289111389,30.5,30.5
ml_no_undersampling,random_forest,E_low_corr,no_undersampling,,0.16,0.0015315591814708,0.5370430917343088,2,2,0,1.0,0,0.0,0,0.0,0,0.0,621,619,10.625596032805646,0.003220611916264,5.5,5.5
ml_undersampling,linear_svc,E_low_corr,external_undersampling,20.0,0.47,0.0445504391386235,0.698420222113304,2,1,1,0.5,0,0.0,0,0.0,0,0.0,4,3,0.0514972344077818,0.25,6.0,6.0
nn_undersampling,mlp_pca,E_low_corr,external_undersampling,20.0,0.95,0.0319173625349417,0.4879672189613194,2,1,1,0.5,0,0.0,0,0.0,0,0.0,10,9,0.1544917032233454,0.1,6.0,6.0
nn_undersampling,mlp_pca,B_raw_plus_missing,external_undersampling,10.0,0.96,0.0288137174620328,0.5149526006861842,2,1,1,0.5,0,0.0,0,0.0,0,0.0,35,34,0.5836353232881938,0.0285714285714285,7.0,7.0
sequence_nn,conv1d_sequence,raw_sequence_features,class_weight,,0.3,0.007211451624489561,0.39176638734828384,2,1,1,0.5,0,0.0,0,0.0,0,0.0,1182,1181,20.331639667643014,0.0008460236886632825,8.0,8.0
nn_undersampling,focal_mlp,B_raw_plus_missing,external_undersampling,10.0,0.87,0.0008360782368557,0.1941043243157085,2,0,2,0.0,0,0.0,0,0.0,0,0.0,18,18,0.3089834064466908,0.0,,
nn_undersampling,mlp,B_raw_plus_missing,external_undersampling,10.0,0.89,0.0008297491362063,0.1911486413790629,2,0,2,0.0,0,0.0,0,0.0,0,0.0,19,19,0.3261491512492848,0.0,,
